steps,steps_tile,tiles,moved_tiles
11839,10322,100,103
78095,71344,100,267
252218,238688,100,406
7530,6863,100,51
12784,11428,100,98
15053,13133,100,120
7657,6880,100,59
11542,10243,100,97
17961,16356,100,119
10234,8875,100,88
8077,7203,100,72
13419,12062,100,104
17278,15378,100,121
14600,13290,100,101
12129,10774,100,87
10484,9484,100,69
8051,7217,100,64
34510,31986,100,119
8738,7681,100,72
9229,8148,100,68
135485,127546,100,359
9110,8218,100,64
8612,7691,100,71
16630,14937,100,121
79,58,100,6
14116,12668,100,100
12750,11306,100,100
10196,9046,100,89
11973,10355,100,85
86,57,100,5
12613,11475,100,84
28688,26204,100,108
8330,7418,100,72
9179,8027,100,71
23789,21439,100,115
9385,8438,100,82
9720,8740,100,75
24954,21853,100,188
20529,18414,100,142
20704,19131,100,95
23237,20658,100,108
6590,5810,100,57
67247,62593,100,227
67,54,100,4
32812,30062,100,120
83571,77616,100,257
41442,37947,100,146
7814,6889,100,73
12849,11501,100,95
11115,9920,100,88
18390,16440,100,115
14450,13115,100,98
11523,10251,100,95
18758,17195,100,90
7661,6838,100,59
8250,7279,100,69
28499,25840,100,121
8753,7867,100,72
16966,15280,100,121
12679,11404,100,96
10890,9884,100,79
11599,10491,100,82
4535,3996,100,36
7772,6899,100,58
25969,23251,100,135
48,38,100,3
80547,71871,100,257
8119,7150,100,65
15230,13768,100,100
12901,11492,100,104
57264,51876,100,166
312,229,100,15
8196,7201,100,62
10481,9213,100,80
61936,55059,100,247
9960,8779,100,76
49189,44564,100,177
10887,9739,100,83
40359,36864,100,142
8727,7799,100,76
11443,10184,100,87
10567,9490,100,79
10456,9282,100,80
50932,46503,100,174
28863,25156,100,168
8818,7806,100,72
106,78,100,7
20761,18345,100,120
9903,8958,100,71
16780,15174,100,103
15995,14424,100,115
11137,10001,100,77
16,16,100,0
9692,8762,100,68
10026,8883,100,93
10941,9860,100,87
13882,12279,100,103
12400,10957,100,98
62793,57580,100,231
9746,8611,100,81
5383,4837,100,50
16141,14336,100,120
9835,8884,100,79
6554,5801,100,60
16326,14658,100,115
146,101,100,8
13961,12594,100,92
12493,11210,100,98
10729,9677,100,84
12124,11066,100,86
22163,19637,100,129
11277,10090,100,80
18,17,100,1
